," 2"," 3"," 4"," 5"," 6"," 7"," 8"
211861231,Pemrosesan Bahasa Alami,A,3,"5,6",VI,"Dewi Soyusiowaty, S.T., M.T.",4.1.5.60
211840231,Grafika Komputer,B,3,"7,8",IV,"Sheraton Pawestri, S.Kom., M.Cs.",4.1.5.55
211840630,Komunikasi Data dan Jaringan Komputer,A,3,"7,8,9",IV,"Taufiq Ismail, S.T., M.Cs.",4.1.5.59
211840831,Strategi Algoritma,G,3,"7,8",IV,"Dr., Ir., Ardi Pujiyanta, M.T.",4.1.5.57
211860330,Rekayasa Perangkat Lunak,B,3,"7,8,9",VI,"Andri Pranolo, S.Kom., M.Cs., Ph.D.",4.1.4.40
211861131,Deep Learning,C,3,"7,8",VI,"Dr., Dewi Pramudi Ismi, S.T., M.CompSc",4.1.5.60
211861531,Pengelihatan Komputer,A,3,"7,8",VI,"Dr., Murinto, S.Si., M.Kom.",4.1.4.39
211820320,Aljabar Linear Matrik,E,2,"9,10",II,"Faisal Fajri Rahani, S.Si., M.Cs.Ninda Khoirunnisa, S.T., MSc",4.1.5.57
211820520,Bahasa Indonesia,C,2,"9,10",II,"Dedy Wijayanti, S.Pd., M.Hum",4.1.3.26
211840420,Islam Interdisipliner,C,2,"9,10",IV,"M. Baihaqi Fadhlil Wafi, M.Ag.",4.1.4.39
211860431,Teknologi Multimedia,C,3,"9,10",VI,"Bambang Robiin, S.T.,M.T.",4.1.5.55
211840630,Komunikasi Data dan Jaringan Komputer,B,3,"10,11,12",IV,"Mushlihudin, S.T., M.T.",4.1.5.59
211840420,Islam Interdisipliner,D,2,"11,12",IV,"M. Baihaqi Fadhlil Wafi, M.Ag.",4.1.4.39
211860531,Keamanan Informasi,A,3,"11,12",VI,"Ir., Nuril Anwar, S.T., M.Kom",4.1.5.57
Rabu,211820230,Algoritma Pemrograman,A,3,"1,2,3",II,"Dr., Ardiansyah, S.T., M.Cs."
211820631,Matematika Diskrit,E,3,"1,2",II,"Lisna Zahrotun, S.T., M.Cs.",4.1.5.57
211840330,Interaksi Manusia dan Komputer,E,3,"1,2",IV,"Guntur Maulana Zamroni, B.Sc., M.Kom.",4.1.5.60
211840831,Strategi Algoritma,B,3,"1,2",IV,"Dwi Normawati, S.T., M.Eng.",4.1.5.59
211860431,Teknologi Multimedia,E,3,"1,2",VI,"Dinan Yulianto, S.T., M.Eng.",4.1.4.48
211820430,Arsitektur Komputer,C,3,"3,4",II,"Muhammad Aziz, S.T., M.Sc.",4.1.5.60
211840831,Strategi Algoritma,A,3,"3,4",IV,"Dwi Normawati, S.T., M.Eng.",4.1.5.59
211840831,Strategi Algoritma,F,3,"3,4",IV,"Eko Aribowo, S.T., M.Kom.",4.1.5.57
211860220,Metodologi Penelitian,A,2,"3,4",VI,"Prof. Ir., Sunardi, S.T., M.T., Ph.D.Dewi Soyusiowaty, S.T., M.T.",Daring ( T. Informatika )
211860220,Metodologi Penelitian,E,2,"3,4",VI,"Lisna Zahrotun, S.T., M.Cs.",Daring ( T. Informatika )
211860931,Sistem terdistribusi,B,3,"3,4",VI,"Sheraton Pawestri, S.Kom., M.Cs.",4.1.4.39
211820230,Algoritma Pemrograman,B,3,"4,5,6",II,"Rusydi Umar, M.T., Ph.D.",4.1.5.55
211840231,Grafika Komputer,G,3,"5,6",IV,"Faisal Fajri Rahani, S.Si., M.Cs.",4.1.5.60
211840531,Kecerdasan Buatan,D,3,"5,6",IV,"Anna Hendri Soleliza Jones, S.Kom., M.Cs.",4.1.5.59
211860120,Manajemen Proyek Teknologi Informasi,D,2,"5,6",VI,"Dewi Soyusiowaty, S.T., M.T.",Daring ( T. Informatika )
211861031,Visualisasi Data,B,3,"5,6",VI,"Supriyanto, S.T., M.T.",4.1.5.57
211861431,Pengenalan Pola,A,3,"5,6",VI,"Ir., Ahmad Azhari, S.Kom., M.Eng.Miftahurrahma Rosyda, S.Kom., M.Eng.",4.1.4.48
211820520,Bahasa Indonesia,D,2,"7,8",II,"Dedy Wijayanti, S.Pd., M.Hum",4.1.3.29
211820631,Matematika Diskrit,B,3,"7,8",II,"Lisna Zahrotun, S.T., M.Cs.Ninda Khoirunnisa, S.T., MSc",4.1.5.55
211820731,Pemrograman Web,C,3,"7,8",II,"Taufiq Ismail, S.T., M.Cs.",4.1.5.57
211840531,Kecerdasan Buatan,C,3,"7,8",IV,"Anna Hendri Soleliza Jones, S.Kom., M.Cs.",4.1.5.59
211860431,Teknologi Multimedia,A,3,"7,8",VI,"Bambang Robiin, S.T.,M.T.",4.1.5.60
211861531,Pengelihatan Komputer,B,3,"7,8",VI,"Faisal Fajri Rahani, S.Si., M.Cs.",4.1.4.39
211820731,Pemrograman Web,E,3,"9,10",II,"Fiftin Noviyanto, S.T., M.Cs.",4.1.5.57
211820820,Pendidikan Kewarganegaraan,C,2,"9,10",II,"Yasir Marzuqi, S.Pd., M.Pd.",Daring ( T. Informatika )
211860531,Keamanan Informasi,B,3,"9,10",VI,"Taufiq Ismail, S.T., M.Cs.Prof. Dr. Ir., H. Imam Riadi, M.Kom.",4.1.5.55
AIK-24082,Khutbah,B1,0,"9,10",II,"Dr.H., Mardjoko, M.A.",4.1.5.59
AIK-24082,Khutbah,A1,0,"11,12",II,"Dr.H., Mardjoko, M.A.",4.1.5.55
AIK-24082,Khutbah,C1,0,"11,12",II,"Irfan Nurudin, S.Th.I., M.S.I.",4.1.5.57
AIK-24082,Khutbah,D1,0,"11,12",II,"Mgr. Sinomba Rambe, M.Pd.",4.1.5.59
Kamis,211820631,Matematika Diskrit,A,3,"1,2",II,"Nur Rochmah Dyah PA, S.T., M.Kom."
211840330,Interaksi Manusia dan Komputer,D,3,"1,2",IV,"Dwi Normawati, S.T., M.Eng.",4.1.5.57
211840330,Interaksi Manusia dan Komputer,G,3,"1,2",IV,"Murein Miksa Mardhia, S.T., M.T.Ninda Khoirunnisa, S.T., MSc",4.1.5.62
211840531,Kecerdasan Buatan,F,3,"1,2",IV,"Miftahurrahma Rosyda, S.Kom., M.Eng.",4.1.5.55
211860330,Rekayasa Perangkat Lunak,E,3,"1,2,3",VI,"Taufiq Ismail, S.T., M.Cs.",4.1.5.60
211820820,Pendidikan Kewarganegaraan,D,2,"3,4",II,"Taufik Hidayat, M.Pd",Daring ( T. Informatika )
211840131,Analisis dan Perancangan Perangkat Lunak,F,3,"3,4",IV,"Drs., Tedy Setiadi, M.T.",4.1.5.55
211860220,Metodologi Penelitian,F,2,"3,4",VI,"Dr., Murinto, S.Si., M.Kom.",Daring ( T. Informatika )
211861031,Visualisasi Data,C,3,"3,4",VI,"Murein Miksa Mardhia, S.T., M.T.",4.1.5.57
211861231,Pemrosesan Bahasa Alami,B,3,"3,4",VI,"Anna Hendri Soleliza Jones, S.Kom., M.Cs.",4.1.5.59
211861331,Pengembangan Aplikasi Game,A,3,"3,4",VI,"Ir., Ahmad Azhari, S.Kom., M.Eng.",4.1.4.39
211840630,Komunikasi Data dan Jaringan Komputer,D,3,"4,5,6",IV,"Guntur Maulana Zamroni, B.Sc., M.Kom.",4.1.5.60
211840630,Komunikasi Data dan Jaringan Komputer,E,3,"4,5,6",IV,"Taufiq Ismail, S.T., M.Cs.Jihad Rahmawan, S.T., M.Sc",4.1.4.40
211820320,Aljabar Linear Matrik,C,2,"5,6",II,"Rusydi Umar, M.T., Ph.D.",4.1.5.57
211840231,Grafika Komputer,F,3,"5,6",IV,"Miftahurrahma Rosyda, S.Kom., M.Eng.Ninda Khoirunnisa, S.T., MSc",4.1.5.59
211860220,Metodologi Penelitian,G,2,"5,6",VI,"Dr., Ardiansyah, S.T., M.Cs.",Daring ( T. Informatika )
211861131,Deep Learning,B,3,"5,6",VI,"Dr., Murinto, S.Si., M.Kom.",4.1.5.55
211840231,Grafika Komputer,C,3,"7,8",IV,"Faisal Fajri Rahani, S.Si., M.Cs.",4.1.5.59
211840531,Kecerdasan Buatan,G,3,"7,8",IV,"Dr., Dewi Pramudi Ismi, S.T., M.CompSc",4.1.5.57
211860431,Teknologi Multimedia,B,3,"7,8",VI,"Dinan Yulianto, S.T., M.Eng.Jihad Rahmawan, S.T., M.Sc",4.1.4.39
